Estrategia,Columna,Accuracy,F1-Macro
Top-Down,DCombo,0.6287878787878788,0.6637461300309597
Top-Down,Combo,0.7196969696969697,0.7536368153499217
Top-Down,M,0.75,0.7286826533790096
Top-Down,MM,0.9090909090909091,0.7440206851971558
Bottom-Up,DCombo,0.6060606060606061,0.6316810344827586
Bottom-Up,Combo,0.7272727272727273,0.746376811594203
Bottom-Up,M,0.8106060606060606,0.7708174178762415
Bottom-Up,MM,0.9090909090909091,0.47619047619047616
Hybrid,DCombo,0.6515151515151515,0.6846068366078009
Hybrid,Combo,0.7575757575757576,0.7796063367728653
Hybrid,M,0.8181818181818182,0.7904761904761906
Hybrid,MM,0.9166666666666666,0.7569874476987448
